Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Distance_km,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,City,Festival,Order_DateTime,Order_Date,Order_Time,Day_of_Week,Is_Weekend,Order_ID,Order_Size,Priority
19.553239477167583,73.66491716810461,19.655061814608768,73.72010264013184,12.712448754627625,conditions Sunny,Low ,Buffet ,motorcycle ,Metropolitian ,No ,2025-03-30 18:07:46.715372,2025-03-30,18:07:46.715372,6,1,UNASSIGNED_d5866126,Small,Normal
10.415735971909923,79.09715302169519,10.480697788979818,79.1150670237007,7.484331694820381,conditions Stormy,Medium ,Snack ,motorcycle ,Metropolitian ,No ,2025-03-29 19:03:46.715372,2025-03-29,19:03:46.715372,5,1,UNASSIGNED_1ac5bd9e,Medium,Normal
17.83154724891461,74.83104230896147,17.935872571417523,74.94777386149525,16.945845027469183,conditions Cloudy,Low ,Snack ,motorcycle ,Urban ,No ,2025-03-29 04:23:46.715372,2025-03-29,04:23:46.715372,5,1,UNASSIGNED_6c69ca46,Medium,Normal
18.097088147862163,75.41869501468199,18.175782329748937,75.55855481569445,17.17527177664446,conditions Fog,Medium ,Buffet ,scooter ,Metropolitian ,No ,2025-03-29 12:30:46.715372,2025-03-29,12:30:46.715372,5,1,UNASSIGNED_897f33a7,Small,Express
16.017545400189356,77.89007186013036,16.054603712969104,77.88681566847974,4.1353634384196925,conditions Cloudy,Jam ,Snack ,scooter ,Metropolitian ,No ,2025-03-28 12:28:46.715372,2025-03-28,12:28:46.715372,4,0,UNASSIGNED_f02e2ae6,Large,Normal
15.243394032880843,79.7967946786406,15.356061785619755,79.91596313458959,17.89732777900369,conditions Sandstorms,Medium ,Snack ,electric_scooter ,Urban ,No ,2025-03-29 18:27:46.715372,2025-03-29,18:27:46.715372,5,1,UNASSIGNED_c3320fd5,Medium,Normal
13.076151534762182,77.07177734275342,13.143831158203803,77.12951395854168,9.784234611095657,conditions Sandstorms,Low ,Buffet ,motorcycle ,Metropolitian ,Yes ,2025-03-28 20:47:46.715372,2025-03-28,20:47:46.715372,4,0,UNASSIGNED_ed89fe5b,Small,Normal
21.406734347191577,74.59630492448326,21.4836396794906,74.70811837063653,14.389105377697424,conditions Stormy,High ,Drinks ,motorcycle ,Metropolitian ,No ,2025-03-28 11:35:46.715372,2025-03-28,11:35:46.715372,4,0,UNASSIGNED_c1b1dcab,Medium,Express
14.754932722324961,79.73991268543986,14.807874442502182,79.78013827105949,7.304751482395231,conditions Stormy,Low ,Meal ,scooter ,Metropolitian ,No ,2025-03-30 13:56:46.715372,2025-03-30,13:56:46.715372,6,1,UNASSIGNED_8c9b946e,Small,Express
18.318311646664835,73.75471924914578,18.338868714323723,73.80602889677199,5.87855292763703,conditions Fog,Low ,Snack ,scooter ,Metropolitian ,No ,2025-03-30 19:56:46.715372,2025-03-30,19:56:46.715372,6,1,UNASSIGNED_3d445bf3,Medium,Normal
19.00340428827694,75.05153328671916,19.050566658209924,75.13090994521876,9.85520766669644,conditions Cloudy,Jam ,Snack ,motorcycle ,Metropolitian ,No ,2025-03-30 13:35:46.715372,2025-03-30,13:35:46.715372,6,1,UNASSIGNED_6f9af19e,Large,Normal
17.617824796596846,75.49124221285655,17.726401125378377,75.56031759418013,14.118042738539815,conditions Fog,Low ,Snack ,motorcycle ,Urban ,No ,2025-03-30 11:50:46.715372,2025-03-30,11:50:46.715372,6,1,UNASSIGNED_3bd489ea,Large,Normal
