Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,Festival,City
b44e4858-96af-4351-a09e-c9fb43005959,21,4.4,15.410391745235323,77.05759375463255,10.829611844850582,71.42058460661507,10-01-2025,18:23:08,Stormy,Jam,Snack,scooter,Yes,Semi-Urban
abd33530-14c8-4783-b190-362582668c88,32,4.4,11.669153070621574,83.80340001871603,29.43023128263114,88.8800090997816,13-02-2025,06:43:42,Cloudy,Jam,Meal,electric_scooter,No,Semi-Urban
9989d40f-d70a-416b-9306-2f0d197aac26,23,4.3,25.18099371634683,76.69775752273964,12.53141852297613,86.70818449977277,08-05-2024,13:50:27,Stormy,High,Drinks,electric_scooter,No,Metropolitian
a5a5f15a-fd0f-4b79-a765-33e86e8b699d,28,4.6,20.853279472181477,88.86715566029837,10.084882072476141,81.05796866335297,30-08-2024,08:42:37,Stormy,Medium,Drinks,motorcycle,Yes,Metropolitian
d9611aea-cfdd-40c0-92b1-b0600a30e2d7,20,4.9,12.238630609067547,76.6621341272966,18.518788674635225,85.17350826918805,03-03-2025,06:29:28,Stormy,Jam,Snack,motorcycle,No,Metropolitian
2556692f-6249-40c0-9acd-e0e8bea86ff7,43,3.7,26.70377391954044,80.08162378609309,28.621637715883015,75.1014721424693,12-12-2024,17:52:52,Sunny,Medium,Meal,scooter,No,Metropolitian
ed975659-f3d8-4ca6-b777-d89a15493477,36,4.9,19.672336452801463,82.73871437275137,24.557146220604672,79.37774080094728,04-04-2024,15:41:52,Fog,Medium,Drinks,motorcycle,Yes,Urban
9252c1d6-d507-4584-be7e-f571ebc5db60,20,4.8,21.860935547716466,80.53432201196136,23.921424515249488,87.28947405493756,14-01-2025,17:41:31,Sunny,Low,Buffet,electric_scooter,Yes,Urban
7ef4ffad-28c8-429f-94c3-becd4d287989,20,4.9,11.315987031869332,87.05844100382745,24.492464929317592,86.79251656171098,05-08-2024,16:13:23,Sunny,High,Snack,electric_scooter,Yes,Metropolitian
edf32570-8d07-4924-8b57-cf05448cd111,18,5.0,22.89456842024627,77.72644672287902,26.80698614534296,83.31787624243394,15-08-2024,10:24:41,Cloudy,Jam,Meal,electric_scooter,Yes,Metropolitian
d7398629-62fc-4f95-ad6d-c48678a7a9e6,31,3.6,29.164748224395098,89.41911929584842,28.59938342171806,88.11395294097751,13-05-2024,01:22:29,Fog,Medium,Drinks,scooter,Yes,Semi-Urban
6ceff7ad-c225-477b-8795-ef54ce964950,41,4.3,19.441148654521815,80.18009006360344,14.084734471731213,74.2643224261185,24-09-2024,16:34:23,Fog,Medium,Meal,electric_scooter,No,Urban
76c5f04a-41b7-4144-b873-0aac4648367b,28,4.8,17.93433882603152,88.30961343987535,11.98182232590451,79.98833520174637,20-03-2025,14:10:01,Cloudy,Medium,Meal,scooter,No,Metropolitian
ffcc392a-6f26-4942-b150-521714f95f49,40,3.7,10.72452750324205,80.2276003787052,29.81184984216678,83.15848077067918,08-06-2024,07:56:48,Fog,Medium,Snack,motorcycle,No,Metropolitian
6af2745a-fc86-49a3-8cd3-f6dcf1e968fa,22,4.4,28.134560200323666,74.81044952470121,24.02733183759003,78.87926408907722,27-07-2024,08:12:00,Stormy,Low,Snack,motorcycle,No,Urban
4918044b-abb5-4bc2-a752-48625f1186fa,45,3.7,25.534885552229937,83.51312545376048,27.3363959408946,76.85577176023821,25-04-2024,08:49:07,Fog,Jam,Meal,scooter,Yes,Semi-Urban
78e18478-c1d9-454f-a0ca-a78fef9c2ab8,26,4.4,17.22351199526205,88.56715592875983,12.952329482348858,72.43878283944328,11-03-2025,06:05:01,Cloudy,High,Buffet,scooter,Yes,Urban
695a2b7b-98cc-44db-9c73-684f224752c6,37,4.3,22.727570329806348,76.90750762091679,27.698059027629743,81.70732831981704,09-09-2024,20:23:29,Stormy,Medium,Drinks,motorcycle,Yes,Metropolitian
55dc7aa2-566b-4f43-9d75-251f53aece5e,27,4.6,20.39169172812872,80.86533304093427,10.828047684298587,70.03755256511798,10-10-2024,01:33:04,Sunny,High,Meal,scooter,No,Metropolitian
8eb92cf8-777e-4266-ae80-e6d5c5e5ff8f,18,3.6,28.78933807025238,71.10235522724717,10.651146467863422,72.26254356389731,26-12-2024,00:51:36,Sunny,Jam,Snack,scooter,No,Metropolitian
6b6126b7-5c3d-48e0-a788-bf4d7d1b1d91,46,4.9,29.507087630563426,82.53435710956335,18.104392258578876,75.4948485672233,28-01-2025,02:51:14,Cloudy,Medium,Drinks,scooter,No,Urban
30161b71-027d-4995-92c4-63bd5dd57ea5,40,4.4,22.63338484387168,70.09671016192148,17.777509368383452,72.51852178688495,25-12-2024,17:32:46,Stormy,Low,Meal,motorcycle,Yes,Urban
429dcc02-2ab1-4079-b7dd-38cf9d5f8c8a,48,4.5,22.063693242802085,73.16299139906818,15.835651278215778,84.2768055162583,03-07-2024,11:47:28,Stormy,Medium,Buffet,electric_scooter,No,Metropolitian
7190fab3-3fe5-4c05-9bed-02a919fb5150,23,3.9,13.58051368552884,83.83254156125464,16.216638330565587,89.41748361329832,02-03-2025,16:12:49,Stormy,Medium,Drinks,scooter,Yes,Metropolitian
df04759a-2996-4396-baab-05406cfa18dc,20,4.3,24.509280188138263,89.41534013531292,29.31224082821499,84.54050910915511,27-01-2025,10:12:47,Stormy,Low,Meal,motorcycle,Yes,Semi-Urban
6a813642-1ca8-498e-bf9b-479a686cff19,29,4.7,14.214114075684128,89.6015477280702,17.029393487315843,72.37432179446833,15-08-2024,00:40:12,Sunny,Jam,Snack,electric_scooter,No,Metropolitian
711d2b70-1c11-45b7-8b80-52108358fb52,28,4.9,22.431034807284675,71.37173290121454,19.567930927590687,85.4693612568589,08-05-2024,14:38:56,Stormy,Jam,Drinks,scooter,No,Urban
80865048-82ee-4744-b6d2-509aa474ecce,20,4.4,27.13192940491003,87.55961836230904,24.456553592608213,85.09045660072029,13-04-2024,14:19:11,Stormy,Medium,Snack,electric_scooter,No,Metropolitian
365a70ea-700a-429e-b363-580b88638ede,44,4.4,27.243944697108418,70.18486602733856,28.71520232427571,84.48011405681181,15-01-2025,15:02:38,Cloudy,Jam,Drinks,scooter,No,Semi-Urban
77c3403c-5f2f-42ef-8fb0-95bdeebf80f0,37,4.2,23.700229726940876,84.48295166590216,16.66643256974073,77.75114368045062,02-03-2025,21:03:55,Sunny,Low,Drinks,electric_scooter,No,Semi-Urban
003301bc-3943-4bed-baf2-2ff6c2e0d228,33,4.8,29.92572968900649,72.63888378601168,25.45348286948748,73.11484810578511,30-12-2024,15:46:36,Sunny,High,Drinks,scooter,No,Semi-Urban
